src,dst,demand
1,2,1000
2,1,1000
3,1,1000
3,2,1000
4,1,1000
4,2,1000
5,1,1000
5,2,1000
6,1,1000
6,2,1000
7,1,1000
7,2,1000
8,1,1000
8,2,1000
9,1,1000
9,2,1000
10,1,2000
10,2,2000
11,1,2000
11,2,2000
12,1,2000
12,2,2000
13,1,2000
13,2,2000
14,1,2000
14,2,2000
15,1,2000
15,2,2000
16,1,2000
16,2,2000
17,1,2000
17,2,2000
18,1,2000
18,2,2000
19,1,2000
19,2,2000
20,1,2000
20,2,2000
21,1,5000
21,2,5000
22,1,5000
22,2,5000
23,1,5000
23,2,5000
24,1,5000
24,2,5000
25,1,5000
25,2,5000
26,1,5000
26,2,5000
27,1,5000
27,2,5000
28,1,5000
28,2,5000
29,1,5000
29,2,5000
