src,dst,cost
50,13,3.151521068
50,41,3.902587011
50,45,2.424523616
50,6,3.876210986
50,97,7.0
41,4,4.544517581
41,6,1.574961737
41,42,2.143138377
41,45,3.588821582
42,4,3.132292642
42,44,1.531162216
42,45,3.350231067
44,4,1.723998822
44,43,1.6051469930000002
44,45,2.806868516
45,13,3.3295175180000003
45,12,2.097153167
45,4,2.20265009
43,29,1.093166204
43,32,0.752313626
43,35,1.6386335930000002
43,4,0.645730148
43,5,2.021451919
43,46,1.381792549
32,2,2.277412136
32,29,0.6075364089999999
32,4,0.83354786
32,46,1.42496151
32,12,1.396815248
32,35,1.1576599909999998
46,29,0.992338294
46,34,2.126438786
46,35,1.024023098
46,5,1.318395358
