src,dst,cost
42,30,6.75
42,43,6.75
30,45,6
30,19,15
43,44,6.75
44,38,6.75
38,46,10.5
38,47,13
38,48,7.333333333
45,3,6
3,50,13
3,51,5.75
3,19,23
19,18,29
46,4,10.5
4,18,24
4,41,27
4,2,17
47,39,13
39,99,6.5
39,104,6.5
48,49,7.333333333
49,6,7.333333333
6,77,5.666666667
6,40,23
12,50,13
12,70,3.5
12,73,6.5
51,52,5.75
52,53,5.75
53,18,5.75
54,5,8
54,55,8
5,56,8.5
55,31,8
31,1,17
31,33,25
56,22,8.5
22,35,27
1,58,9
1,11,26
33,57,9
33,32,18
35,57,9
58,59,9
59,10,9
10,60,8.666666667
10,62,1.375
11,29,19
11,69,9.5
60,61,8.666666667
61,15,8.666666667
15,78,5
15,83,9.5
62,63,1.375
63,64,1.375
64,65,1.375
65,66,1.375
66,67,1.375
67,68,1.375
68,16,1.375
16,17,16
16,20,19
29,74,7.333333333
29,96,2.5
69,32,9.5
70,71,3.5
71,72,3.5
72,13,3.5
13,75,7.333333333
13,76,5.666666667
73,14,6.5
14,82,5
74,75,7.333333333
76,77,5.666666667
78,79,5
79,80,5
80,81,5
81,82,5
83,17,9.5
20,84,7.5
20,85,10.5
41,94,5.666666667
41,103,14
2,85,10.5
2,36,15
84,8,7.5
8,93,14
8,100,4
21,7,25
21,23,15
21,24,28
7,25,22
7,86,7
23,25,14
23,88,6.5
24,25,29
24,89,7.333333333
86,87,7
87,26,7
26,92,5.666666667
26,93,14
26,34,20
88,27,6.5
27,91,5.666666667
27,34,13
89,90,7.333333333
90,28,7.333333333
28,95,5.666666667
91,92,5.666666667
94,95,5.666666667
96,97,2.5
97,98,2.5
98,9,2.5
9,99,6.5
9,40,14
40,104,6.5
100,101,4
101,36,4
36,102,12.5
102,37,12.5
37,103,14
