src,dst,cost
30,38,27
30,3,12
30,19,15
38,4,21
38,39,26
38,6,22
3,12,26
3,18,23
3,19,23
19,18,29
4,18,24
4,41,27
4,2,17
39,9,13
39,40,13
6,13,17
6,40,23
12,13,14
12,14,13
5,31,24
5,22,17
31,1,17
31,33,25
22,35,27
1,10,27
1,11,26
33,35,18
33,32,18
10,15,26
10,16,11
11,29,19
11,32,19
15,14,30
15,17,19
16,17,16
16,20,19
29,13,22
29,9,10
20,8,15
20,2,21
41,28,17
41,37,28
2,36,15
8,26,28
8,36,12
21,7,25
21,23,15
21,24,28
7,25,22
7,26,21
23,25,14
23,27,13
24,25,29
24,28,22
26,27,17
26,34,20
27,34,13
9,40,14
36,37,25
