node,type
1,Core site
2,Core site
3,Core site
4,Aggregation site
5,Aggregation site
6,Aggregation site
7,Aggregation site
8,Aggregation site
9,Aggregation site
10,Access site
11,Access site
12,Access site
13,Access site
14,Access site
15,Access site
16,Access site
17,Access site
18,Access site
19,Access site
20,Access site
21,Access site
22,Access site
23,Access site
24,Access site
25,Access site
26,Access site
27,Access site
28,Access site
29,Access site
30,Access site
31,Access site
32,Access site
33,Access site
34,Access site
35,Access site
36,Access site
37,Access site
38,Access site
39,Access site
40,Access site
41,Access site
