source,target,cost
1,2,46.98668325
1,3,91.20666395
1,4,97.948252
1,5,184.2509528
1,34,97.52170598
3,42,83.38606883
5,7,79.40114473
5,8,62.00709273
5,16,57.97197719
20,11,84.68261162
11,21,50.18188716
13,42,63.63951994
21,16,84.05412277
14,12,119.599478
14,15,47.00149364
15,16,44.7637092
16,17,68.06587609
17,18,66.98351737
18,19,98.7903964
23,37,77.4112303
24,37,79.71952254
25,32,60.15489974
25,26,133.7938358
26,27,66.71532282
26,28,21.03406972
29,32,100.1934581
33,41,71.83452325
35,36,53.76173676
35,39,108.5499375
37,38,63.80867944
37,39,131.2616997
39,40,108.9612682
40,41,48.72297725
40,42,131.8337701
36,37,99.04417484
36,30,201.5147777
37,30,222.6988607
30,31,33.86206985
30,19,128.4389822
31,19,132.7397815
5,6,52.45492022
5,9,101.2379711
5,10,204.83336
5,28,174.9714182
6,9,79.99869117
6,10,171.1070513
6,28,122.7549582
9,10,105.2797016
9,28,129.2334812
10,28,131.4623245
13,21,163.8168035
13,12,53.00969127
13,37,77.82217212
21,12,114.5958904
21,37,198.5183931
12,37,115.509238
