src,dst,cost
1,30,0.434249339
11,30,0.434249339
1,12,2.739447502
1,31,1.478861099
14,31,1.478861099
1,32,0.713541838
21,32,0.713541838
1,10,5.139961763
2,27,3.132292642
2,33,0.685316922
12,33,0.685316922
2,26,1.723998822
2,24,0.645730148
2,23,0.83354786
2,34,2.272258791
28,34,2.272258791
3,35,1.01072596
24,35,1.01072596
3,22,1.318395358
3,18,2.448856303
3,36,1.113329803
20,36,1.113329803
4,37,1.950675531
6,37,1.950675531
4,38,0.786522273
8,38,0.786522273
4,39,1.598595012
10,39,1.598595012
5,13,3.124972726
5,29,3.151521068
5,25,3.329517518
5,40,1.803604077
12,40,1.803604077
6,7,4.239007832
6,41,1.969671537
8,41,1.969671537
7,9,3.801943196
7,42,2.333562615
15,42,2.333562615
8,10,2.784890316
8,43,1.931363584
9,43,1.931363584
9,44,0.386579525
14,44,0.386579525
9,11,3.808650994
10,11,4.703464014
11,45,0.988707037
13,45,0.988707037
11,12,2.493763443
12,25,2.097153167
12,13,2.116682814
14,16,2.449842486
15,46,1.627205691
16,46,1.627205691
15,47,1.924976232
17,47,1.924976232
16,19,2.059521286
16,17,3.426294334
17,48,1.433709037
18,48,1.433709037
17,49,1.743893149
19,49,1.743893149
18,19,2.932016151
19,22,2.126438786
19,50,1.340633121
20,50,1.340633121
20,22,0.992338294
20,23,0.607536409
20,51,0.2847
21,51,0.2847
21,52,0.578829995
23,52,0.578829995
21,24,1.638633593
24,26,1.605146993
25,53,1.794410791
28,53,1.794410791
25,29,2.424523616
26,27,1.531162216
27,54,1.071569189
28,54,1.071569189
28,55,1.951293506
29,55,1.951293506
