src,dst,cost
1,29,9
1,7,29
1,11,22
1,31,3.333333333
1,33,12.5
29,30,9
30,4,9
4,11,15
7,34,10.5
7,35,5.4
11,39,7
31,32,3.333333333
32,23,3.333333333
23,34,10.5
23,21,14
23,42,8
33,15,12.5
15,43,8.666666667
15,45,11.5
35,36,5.4
36,37,5.4
37,38,5.4
38,10,5.4
10,61,7
10,19,13
39,40,7
40,41,7
41,17,7
17,48,13.5
17,49,8.5
21,48,13.5
21,8,16
42,22,8
22,58,10.5
22,8,26
22,59,11.5
43,44,8.666666667
44,13,8.666666667
13,12,29
13,3,27
45,3,11.5
3,50,14
3,5,20
5,20,29
5,59,11.5
20,46,10
46,47,10
47,19,10
19,60,9
49,28,8.5
28,27,24
28,8,22
50,12,14
2,26,27
2,6,11
2,14,11
2,24,23
26,51,9.5
26,52,12
6,53,8.5
6,54,12
14,9,15
14,55,12.5
24,25,29
24,9,26
51,16,9.5
16,55,12.5
16,56,5.5
52,27,12
27,53,8.5
54,25,12
25,57,12.5
25,58,10.5
9,56,5.5
57,8,12.5
18,60,9
18,61,7
